143	124	83
144	124	83
145	125	84
146	126	85
147	127	85
148	128	86
149	129	87
150	130	88
151	130	88
152	131	89
153	132	90
154	133	91
155	134	91
156	135	92
157	136	93
158	136	94
159	137	94
160	138	95
161	139	96
162	140	97
163	141	97
164	142	98
165	142	99
166	143	100
167	144	100
168	145	101
169	146	102
170	147	103
171	148	103
171	148	104
172	149	105
173	150	105
174	151	106
175	152	107
176	153	108
177	154	108
178	154	109
179	155	110
180	156	111
181	157	111
182	158	112
183	159	113
184	160	114
185	160	114
186	161	115
187	162	116
188	163	117
189	164	117
190	165	118
191	166	119
192	166	120
193	167	120
194	168	121
195	169	122
196	170	123
197	171	123
198	172	124
198	172	125
199	173	125
200	174	126
201	175	127
202	176	128
203	177	128
204	178	129
205	178	130
206	179	131
207	180	131
208	181	132
209	182	133
210	183	134
211	184	134
212	184	135
213	185	136
214	186	137
215	187	137
216	188	138
217	189	139
218	190	140
219	190	140
220	191	141
221	192	142
222	193	143
223	194	143
224	195	144
225	196	145
226	197	146
225	196	146
225	197	147
224	197	148
223	197	149
222	197	151
222	197	152
221	197	153
220	197	155
219	197	156
219	197	157
218	197	158
217	198	160
216	198	161
215	198	162
215	198	164
214	198	165
213	198	166
212	198	167
212	198	169
211	198	170
210	198	171
209	198	173
208	199	174
208	199	175
207	199	176
206	199	178
205	199	179
205	199	180
204	199	182
203	199	183
202	199	184
202	199	185
201	200	187
200	200	188
199	200	189
198	200	191
198	200	192
197	200	193
196	200	194
195	200	196
195	200	197
194	200	198
193	200	200
192	201	201
191	201	202
191	201	203
190	201	205
189	201	206
188	201	207
188	201	209
187	201	210
186	201	211
185	201	212
184	202	214
184	202	215
183	202	216
182	202	218
181	202	219
181	202	220
180	202	221
179	202	223
178	202	224
178	202	225
177	202	227
176	203	228
175	203	229
174	203	230
174	203	232
173	203	233
172	203	234
171	203	236
171	203	237
170	203	238
169	203	239
168	204	241
167	204	242
167	204	243
166	204	245
165	204	246
164	204	247
164	204	248
163	204	250
162	204	251
161	204	252
161	205	254
160	204	254
160	203	253
160	202	253
160	201	253
159	200	253
159	199	252
159	198	252
159	197	252
158	195	252
158	194	251
158	193	251
157	192	251
157	191	251
157	190	250
157	189	250
156	188	250
156	186	250
156	185	249
156	184	249
155	183	249
155	182	249
155	181	249
154	180	248
154	178	248
154	177	248
154	176	248
153	175	247
153	174	247
153	173	247
153	172	247
152	171	246
152	169	246
152	168	246
151	167	246
151	166	245
151	165	245
151	164	245
150	163	245
150	162	244
150	160	244
150	159	244
149	158	244
149	157	244
149	156	243
148	155	243
148	154	243
148	152	243
148	151	242
147	150	242
147	149	242
147	148	242
147	147	241
146	146	241
146	145	241
146	143	241
145	142	240
145	141	240
145	140	240
145	139	240
144	138	239
144	137	239
144	136	239
144	134	239
143	133	239
143	132	238
143	131	238
142	130	238
142	129	238
142	128	237
142	126	237
141	125	237
141	124	237
141	123	236
141	122	236
140	121	236
140	120	236
140	119	235
139	117	235
139	116	235
139	115	235
139	114	234
138	113	234
138	112	234
138	111	234
138	110	234
